table_schema,table_name,column_name,description
dev_hotel_sales,nihrm__Channel__c,CreatedDate,
dev_hotel_sales,nihrm__Booking__c,CreatedDate,
dev_hotel_sales,sertifisem__DataMapItem__c,CreatedDate,
dev_hotel_sales,nihrm__BookingContact__c,CreatedDate,
dev_hotel_sales,nihrm__OtherIncome__c,CreatedDate,
dev_hotel_sales,nihrm__Reservation__c,CreatedDate,
dev_hotel_sales,nihrm__Transaction__c,CreatedDate,
dev_hotel_sales,nihrm__PicklistMapping__c,CreatedDate,
dev_hotel_sales,nihrm__EventItemAlternatePrice__c,CreatedDate,
dev_hotel_sales,nihrm__VolumeContractPickup__c,CreatedDate,
dev_hotel_sales,nihrm__PackageEvent__c,CreatedDate,
dev_hotel_sales,nihrm__EventItem__c,CreatedDate,
dev_hotel_sales,nihrm__ChannelLocation__c,CreatedDate,
dev_hotel_sales,nihrm__SiteRateCode__c,CreatedDate,
dev_hotel_sales,nihrm__EventPackageItem__c,CreatedDate,
dev_hotel_sales,nihrm__RoomBlockRevenue__c,CreatedDate,
dev_hotel_sales,nihrm__Site__c,CreatedDate,
dev_hotel_sales,nihrm__Location__c,CreatedDate,
dev_hotel_sales,nihrm__CustomMapping__c,CreatedDate,
dev_hotel_sales,sertifisem__DataMap__c,CreatedDate,
dev_hotel_sales,nihrm__RateCode__c,CreatedDate,
dev_hotel_sales,nihrm__SalesGoal__c,CreatedDate,
dev_hotel_sales,nihrm__VolumeContractContact__c,CreatedDate,
dev_hotel_sales,nihrm__Item__c,CreatedDate,
dev_hotel_sales,nihrm__EventPackageRevenueBreakdown__c,CreatedDate,
dev_hotel_sales,nihrm__RevenueClassificationJunction__c,CreatedDate,
dev_hotel_sales,nihrm__RoomblockPackage__c,CreatedDate,
dev_hotel_sales,nihrm__EventItemRevenueBreakdown__c,CreatedDate,
dev_hotel_sales,nihrm__Inquiry__c,CreatedDate,
dev_hotel_sales,nihrm__BookingPostedRevenue__c,CreatedDate,
dev_hotel_sales,nihrm__ReservationOtherIncomeDay__c,CreatedDate,
dev_hotel_sales,nihrm__BookingRoomNight__c,CreatedDate,
dev_hotel_sales,nihrm__BookingInquiry__c,CreatedDate,
dev_hotel_sales,nihrm__EventFunctionroomDate__c,CreatedDate,
dev_hotel_sales,nihrm__BookingPackage__c,CreatedDate,
dev_hotel_sales,nihrm__SetupValue__c,CreatedDate,
dev_hotel_sales,nihrm__EIRevBreakdownAlternatePrice__c,CreatedDate,
dev_hotel_sales,nihrm__BookingRoomBlock__c,CreatedDate,
dev_hotel_sales,nihrm__EventClassificationItem__c,CreatedDate,
dev_hotel_sales,nihrm__SiteFunctionRoomSetup__c,CreatedDate,
dev_hotel_sales,nihrm__PmsRoomBlock__c,CreatedDate,
dev_hotel_sales,nihrm__VolumeContractGuestroomType__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__ChannelPackage__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__BookingTax__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__PackageItem__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__FunctionRoomAlternatePrice__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__BookingOtherIncome__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__ChannelLocationItem__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__RevenueClassification__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__Package__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__VolumeContractPeriod__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__GuestroomType__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__FunctionRoomGroup__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__FunctionRoomGroupComponent__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__EventClassification__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__VolumeContract__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__PmsRoomNight__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__ReservationNight__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__Channel__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__Booking__c,CurrencyIsoCode,
dev_hotel_sales,sertifisem__DataMapItem__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__BookingContact__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__OtherIncome__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__Reservation__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__Transaction__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__PicklistMapping__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__EventItemAlternatePrice__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__VolumeContractPickup__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__PackageEvent__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__EventItem__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__ChannelLocation__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__SiteRateCode__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__EventPackageItem__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__RoomBlockRevenue__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__Site__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__Location__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__CustomMapping__c,CurrencyIsoCode,
dev_hotel_sales,sertifisem__DataMap__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__RateCode__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__SalesGoal__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__VolumeContractContact__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__Item__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__EventPackageRevenueBreakdown__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__RevenueClassificationJunction__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__RoomblockPackage__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__EventItemRevenueBreakdown__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__Inquiry__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__BookingPostedRevenue__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__ReservationOtherIncomeDay__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__BookingRoomNight__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__BookingInquiry__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__EventFunctionroomDate__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__BookingPackage__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__SetupValue__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__EIRevBreakdownAlternatePrice__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__BookingRoomBlock__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__EventClassificationItem__c,CurrencyIsoCode,
dev_hotel_sales,nihrm__SiteFunctionRoomSetup__c,CurrencyIsoCode,
